,PC1,PC2,PC1_abs,PC2_abs
age,0.0073182057391817466,0.0012663155771750663,0.0073182057391817466,0.0012663155771750663
avg_bags_per_trip,0.10315722972924213,-0.04856800879114826,0.10315722972924213,0.04856800879114826
avg_days_between_bookings,-0.10160054791434596,-0.005728555761495285,0.10160054791434596,0.005728555761495285
avg_discount_amount,0.004621271765877728,0.145523532617333,0.004621271765877728,0.145523532617333
avg_flight_fare,0.08150499348856476,-0.1477375094646829,0.08150499348856476,0.1477375094646829
avg_hotel_price_per_night,0.10077857941003872,-0.05063306388239682,0.10077857941003872,0.05063306388239682
avg_nights_per_stay,0.07420338228755737,0.057303699388021864,0.07420338228755737,0.057303699388021864
avg_party_size,0.13260603706797133,-0.04018907226948892,0.13260603706797133,0.04018907226948892
avg_rooms_per_booking,0.14456761914111907,0.02501114884761566,0.14456761914111907,0.02501114884761566
avg_transaction_value,0.07693791732677406,-0.15184175578688652,0.07693791732677406,0.15184175578688652
booking_velocity,0.12067379892676726,0.008797620735636091,0.12067379892676726,0.008797620735636091
browse_to_book_ratio,-0.14934697540241407,0.006475312868156428,0.14934697540241407,0.006475312868156428
cancellation_frequency,-1.0097419586828951e-28,-2.0679515313825692e-25,1.0097419586828951e-28,2.0679515313825692e-25
cancellation_prone_score,-0.0,-3.2311742677852644e-27,0.0,3.2311742677852644e-27
cancellation_rate,-0.0,-0.0,0.0,0.0
clv_quartile,0.11978182139286596,-0.07214233056587649,0.11978182139286596,0.07214233056587649
days_since_last_cancellation,7.52316384526264e-37,-0.0,7.52316384526264e-37,0.0
days_since_signup,0.0043155208874126145,0.002576675836272475,0.0043155208874126145,0.002576675836272475
discount_dependency_score,-0.009952954496843497,0.1788169115306465,0.009952954496843497,0.1788169115306465
discount_to_spend_ratio,-0.020759418781610774,0.08388714109250413,0.020759418781610774,0.08388714109250413
discount_usage_rate,1.7516230804060213e-46,1.1479437019748901e-41,1.7516230804060213e-46,1.1479437019748901e-41
estimated_annual_clv,0.1077528240918037,-0.06490252699746563,0.1077528240918037,0.06490252699746563
flight_discount_utilization,-0.000600906569237897,0.1599335349956789,0.000600906569237897,0.1599335349956789
flight_only_bookings,-0.0021067192240570003,-0.03256829463359308,0.0021067192240570003,0.03256829463359308
flight_only_rate,-0.038527562310917925,-0.04851669692225534,0.038527562310917925,0.04851669692225534
hotel_discount_utilization,-0.014154768704228398,0.08895743054148939,0.014154768704228398,0.08895743054148939
hotel_enthusiast_score,0.07784089096776182,0.08928229196881265,0.07784089096776182,0.08928229196881265
hotel_only_bookings,0.026170019623657878,0.0697410921733495,0.026170019623657878,0.0697410921733495
hotel_only_rate,-0.011833909952508468,0.08716726985826498,0.011833909952508468,0.08716726985826498
median_session_duration_minutes,0.08573246142516988,0.014249238994737614,0.08573246142516988,0.014249238994737614
package_booking_rate,0.13907221205994985,-0.023721446797781594,0.13907221205994985,0.023721446797781594
price_sensitivity_index,0.023972321656321592,0.19769692189804206,0.023972321656321592,0.19769692189804206
propensity_exclusive_discount,0.04091264449785419,0.7925409523915696,0.04091264449785419,0.7925409523915696
propensity_free_bag,0.4126289189169681,-0.1942720351645935,0.4126289189169681,0.1942720351645935
propensity_free_hotel_night,0.5691129658314166,-0.0926204386385689,0.5691129658314166,0.0926204386385689
propensity_hotel_meal,0.4728384377901347,0.30247700392515847,0.4728384377901347,0.30247700392515847
propensity_no_cancel_fee,-0.0,-0.0,0.0,0.0
recency_score,-0.00942290339422846,-0.006373788206240132,0.00942290339422846,0.006373788206240132
sessions_per_month,-0.0068606735496280925,-0.0019909704743238123,0.0068606735496280925,0.0019909704743238123
sessions_with_flight_discount,-0.0,-0.0,0.0,0.0
sessions_with_hotel_discount,-0.0,-0.0,0.0,0.0
total_bags,0.11733410464232036,-0.027358900739503565,0.11733410464232036,0.027358900739503565
total_cancellations,-0.0,-0.0,0.0,0.0
total_flight_spend,0.10426169145689486,-0.08513151363512857,0.10426169145689486,0.08513151363512857
total_flights_booked,0.12661700484367006,-0.006952720372539517,0.12661700484367006,0.006952720372539517
total_hotel_nights,0.10566824332634447,0.0501546917015993,0.10566824332634447,0.0501546917015993
total_hotel_spend,0.12295867287476592,-0.014391063180178578,0.12295867287476592,0.014391063180178578
total_hotels_booked,0.14054927029387138,0.030043667382142127,0.14054927029387138,0.030043667382142127
total_page_clicks,0.08212766183272084,0.007901821004854533,0.08212766183272084,0.007901821004854533
total_sessions,0.006880039425064918,0.001968396237159782,0.006880039425064918,0.001968396237159782
