Component,Variance_Explained,Cumulative_Variance
1,0.34351776227023817,0.34351776227023817
2,0.22003455701268748,0.5635523192829257
3,0.156794208641846,0.7203465279247717
4,0.10519157837882039,0.8255381063035921
5,0.036549700939302154,0.8620878072428944
6,0.026439693330744984,0.8885275005736394
7,0.020531567757485734,0.9090590683311252
8,0.016238930148889434,0.9252979984800146
9,0.012703261605122548,0.9380012600851372
10,0.010056679778325079,0.9480579398634622
11,0.009803151726035528,0.9578610915894977
12,0.007847456180404661,0.9657085477699023
13,0.006655921976743073,0.9723644697466454
14,0.0050460925848776735,0.977410562331523
15,0.004515609263550675,0.9819261715950737
16,0.0032391159754305023,0.9851652875705041
17,0.0028561381244796413,0.9880214256949837
18,0.00250029404728476,0.9905217197422685
19,0.0015850173045975362,0.9921067370468661
20,0.001344628461996595,0.9934513655088627
21,0.001255899102104013,0.9947072646109667
22,0.0010733971257746693,0.9957806617367414
23,0.0008629987114016132,0.996643660448143
24,0.0008345665297496872,0.9974782269778927
25,0.0007427490381711541,0.9982209760160639
26,0.0005535328791295763,0.9987745088951935
27,0.0004896384710448342,0.9992641473662384
28,0.0003271204839984762,0.9995912678502369
29,0.0001296871381124074,0.9997209549883493
30,0.00010662085214502306,0.9998275758404944
31,0.00010155044495109077,0.9999291262854455
32,7.087371455449803e-05,1.0
33,6.145363440281438e-17,1.0
34,4.8901307274497345e-17,1.0
35,2.980186714555885e-17,1.0
36,1.2150986146931012e-17,1.0
37,8.557888540682477e-18,1.0
38,5.2246302474554515e-18,1.0
39,2.0325215584654465e-18,1.0
40,1.3600702537897385e-33,1.0
41,0.0,1.0
42,0.0,1.0
43,0.0,1.0
44,0.0,1.0
45,0.0,1.0
46,0.0,1.0
47,0.0,1.0
48,0.0,1.0
49,0.0,1.0
50,0.0,1.0
