feature_name,data_type,min_value,max_value,mean_value,median_value,std_value,missing_count,missing_pct,unique_values,category
age,int64,18.0,88.0,42.28933217692975,42.0,11.23473128341583,0,0.0,69,other
avg_bags_per_trip,float64,0.0,3.0,0.45315202577127983,0.5,0.4601268901885789,0,0.0,25,travel_style
avg_days_between_bookings,float64,-18.0,647.0,53.30639100323402,36.333333333333336,43.79023306839156,0,0.0,771,booking_pattern
avg_discount_amount,float64,0.0,225.545,23.728682547855914,0.0,42.32819837106485,0,0.0,2057,travel_style
avg_flight_fare,float64,0.0,1765.08,303.4772931070086,310.165,219.23107491644564,0,0.0,4700,booking_pattern
avg_hotel_price_per_night,float64,0.0,585.0,144.58969850906539,144.0,92.73327569222653,0,0.0,1341,booking_pattern
avg_nights_per_stay,float64,0.0,14.0,2.8985198034113906,2.5,2.4208122803637324,0,0.0,82,travel_style
avg_party_size,float64,0.0,1.0,0.8246313963573287,1.0,0.380315061169649,0,0.0,2,travel_style
avg_rooms_per_booking,float64,0.0,1.0,0.8445793581960104,1.0,0.3623366378996252,0,0.0,2,booking_pattern
avg_transaction_value,float64,0.0,1765.08,235.312920994198,240.805,142.4980638322942,0,0.0,4892,financial
booking_velocity,float64,0.0,12.0,1.2666929440113854,1.127314814814815,0.9973852797471522,0,0.0,940,booking_pattern
browse_to_book_ratio,float64,0.5,10.0,3.059158130584844,2.0,2.363052554230624,0,0.0,56,engagement
cancellation_frequency,float64,0.0,0.0,0.0,0.0,0.0,0,0.0,1,travel_style
cancellation_prone_score,float64,0.5,0.5,0.5,0.5,0.0,0,0.0,1,behavioral_score
cancellation_rate,float64,0.0,0.0,0.0,0.0,0.0,0,0.0,1,booking_pattern
clv_quartile,int64,1.0,4.0,2.4997398091934087,2.0,1.1182085164270066,0,0.0,4,financial
days_since_last_cancellation,float64,,,,,,5765,100.0,0,travel_style
days_since_signup,int64,-18.0,647.0,99.88516912402429,101.0,35.35461276330603,0,0.0,255,other
