feature_name,category,data_type,min_value,max_value,mean_value,median_value,std_value,missing_count,missing_pct,unique_values
user_id,Original,int64,23557,844489,545474.4223764094,540260.0,64988.02420921388,0,0.0,5765
birthdate,Original,datetime64[ns],,,,,,0,0.0,4637
gender,Original,object,,,,,,0,0.0,3
married,Original,bool,False,True,0.4582827406764961,0.0,0.4982998504931633,0,0.0,2
has_children,Original,bool,False,True,0.3297484822202949,0.0,0.47016248747121964,0,0.0,2
home_country,Original,object,,,,,,0,0.0,2
home_city,Original,object,,,,,,0,0.0,105
home_airport,Original,object,,,,,,0,0.0,159
sign_up_date,Original,datetime64[ns],,,,,,0,0.0,255
age,Original,int64,18,88,42.28933217692975,42.0,11.23473128341583,0,0.0,69
total_sessions,Original,int64,2,11,7.477189939288812,8.0,0.9812830683719678,0,0.0,10
total_page_clicks,Original,int64,11,253,108.90164787510841,106.0,34.63679202757299,0,0.0,207
avg_page_clicks_per_session,Original,float64,3.6,34.833333333333336,14.580912288540215,14.25,4.304415887232798,0,0.0,584
avg_session_duration_minutes,Original,float64,0.4566666666666666,4.352777777777778,1.80992058955307,1.7714285714285716,0.5319133024811931,0,0.0,2672
median_session_duration_minutes,Original,float64,0.3583333333333333,5.125,1.568074588031223,1.4833333333333334,0.6345152904506877,0,0.0,479
total_flights_booked,Original,int64,0,7,1.9099739809193408,2.0,1.3818414742062208,0,0.0,8
total_hotels_booked,Original,int64,0,7,1.9267996530789246,2.0,1.3435732246487126,0,0.0,8
total_cancellations,Original,int64,0,0,0.0,0.0,0.0,0,0.0,1
total_package_bookings,Original,int64,0,7,1.6773633998265394,2.0,1.308959671069096,0,0.0,8
total_flight_spend,Original,float64,0.0,4846.17,696.2445464006938,625.51,603.3559651514641,0,0.0,4698
avg_flight_fare,Original,float64,0.0,1765.08,303.4772931070086,310.165,219.23107491644564,0,0.0,4700
total_seats_purchased,Original,float64,0.0,7.0,1.9099739809193408,2.0,1.3818414742062208,0,0.0,8
total_bags,Original,float64,0.0,8.0,1.0419774501300954,1.0,1.1007411433774485,0,0.0,9
avg_bags_per_trip,Original,float64,0.0,3.0,0.45315202577127983,0.5,0.4601268901885789,0,0.0,25
return_flight_count,Original,int64,0,7,1.827580225498699,2.0,1.3525501362050314,0,0.0,8
total_hotel_spend,Original,float64,0.0,1624.0,330.00901994796186,288.0,268.7520190298939,0,0.0,991
avg_hotel_price_per_night,Original,float64,0.0,585.0,144.58969850906539,144.0,92.73327569222653,0,0.0,1341
total_hotel_nights,Original,float64,0.0,35.0,6.014397224631396,5.0,5.520980817426432,0,0.0,34
avg_nights_per_stay,Original,float64,0.0,14.0,2.8985198034113906,2.5,2.4208122803637324,0,0.0,82
total_rooms_booked,Original,float64,0.0,7.0,1.9267996530789246,2.0,1.3435732246487126,0,0.0,8
avg_rooms_per_booking,Original,float64,0.0,1.0,0.8445793581960104,1.0,0.3623366378996252,0,0.0,2
days_since_signup,Original,int64,-18,647,99.88516912402429,101.0,35.35461276330603,0,0.0,255
years_active,Original,float64,-0.0492813141683778,1.7713894592744694,0.2734706889090329,0.2765229295003422,0.09679565438276805,0,0.0,255
flight_trips,Original,int64,0,7,1.9099739809193408,2.0,1.3818414742062208,0,0.0,8
hotel_trips,Original,int64,0,7,1.9267996530789246,2.0,1.3435732246487126,0,0.0,8
